1-1-27-030	Dematagoda
1-1-27-035	Wanathamulla
1-1-27-040	Borella North
1-1-27-045	Borella South
1-1-27-050	Gothamipura
1-1-27-055	Narahenpita
1-1-27-060	Thimbirigasyaya
1-1-27-065	Milagiriya
1-1-27-070	Havelock Town
1-1-27-075	Kirula
1-1-27-080	Kirulapone
1-1-27-085	Wellawatta North
1-1-27-090	Wellawatta South
1-1-27-095	Pamankada West
1-1-27-100	Pamankada East
1-1-30-005	Sri Saranankara
1-1-30-010	Vilawala
1-1-30-015	Dutugemunu
1-1-30-020	Kohuwala
1-1-30-025	Kalubowila
1-1-30-030	Hathbodhiya
1-1-30-035	Galwala
1-1-30-040	Dehiwala West
1-1-30-045	Dehiwala East
1-1-30-050	Udyanaya
1-1-30-055	Nedimala
1-1-30-060	Malwatta
1-1-30-065	Jayathilaka
1-1-30-070	Karagampitiya
1-1-30-075	Kawdana East
1-1-31-010	Kawdana West
1-1-31-015	Watarappala
1-1-31-020	Wathumulla
1-1-31-025	Katukurunduwatta
1-1-31-030	Attidiya North
1-1-31-035	Attidiya South
1-1-31-040	Piriwena
1-1-31-045	Wedikanda
1-1-31-050	Vihara
1-1-31-055	Rathmalana West
1-1-31-060	Rathmalana East
1-1-31-065	Kandawala
1-1-33-005	Angulana North
1-1-33-010	Kaldemulla
1-1-33-015	Soysapura North
1-1-33-020	Soysapura South
1-1-33-025	Dahampura
1-1-33-030	Thelawala North
1-1-33-035	Borupana
1-1-33-040	Thelawala South
1-1-33-045	Lakshapathiya North
1-1-33-050	Lakshapathiya Central
1-1-33-055	Angulana South
1-1-33-060	Uyana South
1-1-33-065	Uyana North
1-1-33-070	Rawathawatta South
1-1-33-075	Rawathawatta East
1-1-33-080	Lakshapathiya South
1-1-33-085	Kuduwamulla
1-1-33-090	Katubedda
1-1-33-095	Molpe
1-1-33-100	Moratumulla North
1-1-33-105	Kadalana
1-1-33-110	Rawathawatta West
1-1-33-115	Idama
1-1-33-120	Uswatta
1-1-33-125	Moratuwella South
1-1-33-130	Indibedda West
1-1-33-135	Moratumulla East
1-1-33-140	Moratumulla West
1-1-33-145	Villorawatta East
1-1-33-150	Villorawatta West
1-1-33-155	Indibedda East
1-1-33-160	Moratuwella North
1-1-33-165	Moratuwella West
1-1-33-170	Koralawella North
1-1-33-175	Koralawella East
1-1-33-180	Koralawella West
1-1-33-185	Koralawella South
1-1-33-190	Katukurunda North
1-1-33-195	Katukurunda South
1-1-33-200	Egoda Uyana North
1-1-33-205	Egoda Uyana Central
1-1-33-210	Egoda Uyana South
1-1-36-005	Pepiliyana West
1-1-36-010	Pepiliyana East
1-1-36-015	Divulpitiya East
1-1-36-020	Divulpitiya West
1-1-36-025	Bellanvila
1-1-36-030	Boralesgamuwa West A
1-1-36-035	Boralesgamuwa West C
1-1-36-040	Rattanapitiya
1-1-36-045	Egodawatta
1-1-36-050	Boralesgamuwa East A
1-1-36-055	Boralesgamuwa West B
1-1-36-060	Werahera North
1-1-36-065	Boralesgamuwa East B
1-1-36-070	Neelammahara
1-1-36-075	Katuwawala North
1-1-36-080	Vishwakalawa
1-1-36-085	Werahera South
1-1-36-090	Katuwawala South
1-1-36-095	Niwanthidiya
1-1-36-100	Erewwala West
1-1-36-105	Erewwala North
1-1-36-110	Erewwala East
1-1-36-115	Rathmaldeniya
1-1-36-120	Mahalwarawa
1-1-36-125	Bangalawatta
1-1-36-130	Pelenwatta East
1-1-36-135	Pelenwatta North
1-1-36-140	Pelenwatta West
1-1-36-145	Paligedara
1-1-36-150	Kaliyammahara
1-1-36-155	Bokundara
1-1-36-160	Thumbovila South
1-1-36-165	Thumbovila North
1-1-36-170	Wewala West
1-1-36-175	Wewala East
1-1-36-180	Thumbovila West
1-1-36-185	Mampe North
1-1-36-190	Makuludoowa
1-1-36-195	Gorakapitiya
1-1-36-200	Nampamunuwa
1-1-36-205	Mavittara North
1-1-36-210	Mampe East
